Variable / Field Name,Form Name,Section Header,Auto extraction,Manual extraction,Needs a review,Num_BCH_MIS_C_Patients (out of 49),concept_cd,concept_desc, concept_path,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
non_arterial_throm,non_cardiac_organ_systems_review,,Yes ,,,0,"ICD10:I82.3,ICD10:I82.4*,ICD10:I82.5*,ICD10:I82.6*,I82.7*,ICD10:I82.89*,ICD10:I74.4,ICD10:I74.5,ICD10:I74.8,ICD10:I74.9","1, Embolism and thrombosis of renal vein --> Renal thromboembolism 
2, Splenic thromboembolism
3, Embolism and thrombosis of other specified veins --> Other abdominal thromboembolism 
4, Acute embolism and thrombosis of deep veins of lower extremity;Chronic embolism and thrombosis of deep veins of lower extremity;Acute embolism and thrombosis of veins of upper extremity;Chronic embolism and thrombosis of veins of upper extremity --> Extremity thromboembolism
5, Embolism and thrombosis of arteries of extremities, unspecified;Embolism and thrombosis of iliac artery;Embolism and thrombosis of other arteries; Embolism and thrombosis of unspecified artery --> Other peripheral arterial thrombosis
 ","""\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I80-I89) Dise~cgvv\(I82) Other ve~vo14\(I82.3) Emboli~rok8\
could not find!
could not find!
could not find!
could not find!
could not find!
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I70-I79) Dise~u5n9\(I74) Arterial~sh55\(I74.4) Emboli~zi94\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I70-I79) Dise~u5n9\(I74) Arterial~sh55\(I74.5) Emboli~4b04\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I70-I79) Dise~u5n9\(I74) Arterial~sh55\(I74.8) Emboli~7lmn\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I70-I79) Dise~u5n9\(I74) Arterial~sh55\(I74.9) Emboli~ihly\""",checkbox,"If there was an arterial thromboembolism, specify location (choose all that apply)","1, Renal thromboembolism | 2, Splenic thromboembolism | 3, Other abdominal thromboembolism | 4, Extremity thromboembolism | 5, Other peripheral arterial thrombosis",,,,,,"[non_thrombotic_type(9)] = ""1""",Y,RV,,,,
non_arterial_throm_sp,non_cardiac_organ_systems_review,,,Notes,,,,,,text,Please specify other location of arterial thromboembolism: ,,,,,,,"[non_arterial_throm(5)] = ""1""",Y,,,,,
non_hematologic_other,non_cardiac_organ_systems_review,,,Notes,,,,,,text,"Other hematologic condition, specify",,,,,,,"[non_hemat_sx(11)] = ""1""",Y,,,,,
non_oncology,non_cardiac_organ_systems_review,Oncologic,,,Yes,,,,,radio,"Has the participant experienced any symptoms, clinical findings, or diagnoses related to this organ system since the last visit?","1, Yes | 0, No",,,,,,,Y,RH,,,,
non_oncologist,non_cardiac_organ_systems_review,,, ,Yes,,,,,radio,Has the participant been evaluated by an oncologist since the last visit?,"1, Yes | 0, No",,,,,,"[non_oncology] = ""1""",Y,RH,,,,
non_cancer,non_cardiac_organ_systems_review,,Yes,,,,,,,radio,Has the participant been diagnosed with cancer since the last visit?,"1, Yes | 0, No",,,,,,"[non_oncology] = ""1""",Y,RH,,,,
non_cancer_type,non_cardiac_organ_systems_review,,Yes,,,2,"ICD10:C81*,ICD10:C82*,ICD10:C83*,ICD10:C84*,ICD10:C85*,ICD10:C86*,ICD10:C88*,ICD10:C90*,ICD10:C91*,ICD10:C92*,ICD10:C93*,ICD10:C94*,ICD10:C95*,ICD10:C96*,ICD10:C72*,ICD10:C64*,ICD10:C65*,ICD10:C38*,ICD10:C22*,ICD10:C34*,ICD10:C74*,ICD10:C49*","1, Hodgkin lymphoma;Follicular lymphoma;Non-follicular lymphoma;Mature T/NK-cell lymphomas;Other specified and unspecified types of non-Hodgkin lymphoma;Other specified types of T/NK-cell lymphoma;Malignant immunoproliferative diseases and certain other B-cell lymphomas;Multiple myeloma and malignant plasma cell neoplasms;Lymphoid leukemia;Myeloid leukemia;Monocytic leukemia;Other leukemias of specified cell type;Leukemia of unspecified cell type;Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue --> Leukemia, lymphoma, or unspecified cancer of the bloodstream
2, Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system --> Central nervous system tumor
3, Solid non-CNS tumor of organ (i.e. Renal, heart, liver, lung) --> Malignant neoplasm of kidney, except renal pelvis;Malignant neoplasm of renal pelvis;Malignant neoplasm of heart, mediastinum and pleura;Malignant neoplasm of liver and intrahepatic bile ducts;Malignant neoplasm of bronchus and lung
4, Malignant neoplasm of adrenal gland --> Neuroblastoma 
5, Malignant neoplasm of other connective and soft tissue --> Soft tissue neoplasm (i.e. rhabdomyosarcoma)
6, ??? --> Other",,checkbox,"If diagnosed with cancer, what type? (choose all that apply)","1, Leukemia, lymphoma, or unspecified cancer of the bloodstream | 2, Central nervous system tumor | 3, Solid non-CNS tumor of organ (i.e. Renal, heart, liver, lung) | 4, Neuroblastoma | 5, Soft tissue neoplasm (i.e. rhabdomyosarcoma) | 6, Other",,,,,,"[non_cancer] = ""1""",Y,RV,,,,
non_cancer_specify,non_cardiac_organ_systems_review,,,,Yes,,,,,text,"Other type of cancer, please specify",,,,,,,"[non_cancer_type(6)] = ""1""",Y,,,,,
non_cancer_bonemar,non_cardiac_organ_systems_review,,,,Yes (column L),,,,,radio,"If diagnosed with cancer, has the participant undergone a bone marrow transplant?","1, Yes | 0, No",,,,,,"[non_cancer] = ""1""",Y,RH,,,,
non_gastro,non_cardiac_organ_systems_review,Gastrointestinal,, ,Yes,,,,,radio,"Has the participant experienced any symptoms, clinical findings, or diagnoses related to this organ system since the last visit?","1, Yes | 0, No",,,,,,,Y,RH,,,,
non_gastro_evaluate,non_cardiac_organ_systems_review,,,Notes,,,,,,radio,Has the participant been evaluated by a gastroenterologist since the last visit?,"1, Yes | 0, No",,,,,,"[non_gastro] = ""1""",Y,RH,,,,
non_gastro_sx,non_cardiac_organ_systems_review,,Yes ,,"No codes for chronic ones (e.g., Chronic diarrhea )",30,"ICD10:R10*,ICD10:R19.7*,ICD10:K59.0,ICD10:R11.0*,ICD10:R11.2,R11.1*,ICD10:R63.4,ICD10:R74.01,ICD10:K80*,ICD10:K75.81,CPT4:47001,ICD10:K58*,ICD10:K51*","1, Abdominal and pelvic pain --> Persistent abdominal pain
2, Chronic diarrhea --> Diarrhea, unspecified
3, Constipation --> Chronic constipation
4, Nausea; Nausea with vomiting, unspecified --> Frequent nausea (>2 times/week)
5, Vomiting unspecified Frequent vomiting (>2 times/week)
6, Abnormal weight loss --> Weight loss of >5 pounds if participant is <100 pounds, or >10 pounds if participant is at least 100 pounds (unintentional)?
7, Elevation of levels of liver transaminase levels --> Persistent transaminitis (> 2X ULN on ≥1 occasion since last visit)
8, Cholelithiasis --> Gall stones
9, Nonalcoholic steatohepatitis (NASH) --> Non-alcoholic fatty liver disease 
10, Biopsy of liver, needle; when done for indicated purpose at time of other major procedure (List separately in addition to code for primary procedure) --> Has the participant had a liver biopsy
11, Irritable bowel syndrome --> Irritable bowel syndrome
12, Ulcerative colitis --> Inflammatory bowel disease
13, ??? --> Other ",,checkbox,"Has the participant experienced any of the following symptoms, clinical findings, or diagnoses since the last visit (choose all that apply)?","1, Persistent abdominal pain| 2, Chronic diarrhea | 3, Chronic constipation | 4, Frequent nausea (>2 times/week) | 5, Frequent vomiting (>2 times/week) | 6, Weight loss of >5 pounds if participant is <100 pounds, or >10 pounds if participant is at least 100 pounds (unintentional)? | 7, Persistent transaminitis (> 2X ULN on ≥1 occasion since last visit) | 8, Gall stones | 9, Non-alcoholic fatty liver disease | 10, Has the participant had a liver biopsy | 11, Irritable bowel syndrome | 12, Inflammatory bowel disease | 13, Other ",,,,,,"[non_gastro] = ""1""",Y,RV,,,,
non_gastro_othersp,non_cardiac_organ_systems_review,,,Notes,,,,,,text,"Other gastrointestinal condition, specify:",,,,,,,"[non_gastro_sx(13)] = ""1""",Y,,,,,
non_dermatologic,non_cardiac_organ_systems_review,Dermatologic/Mucocutaneous,,,Yes,,,,,radio,"Has the participant experienced any symptoms, clinical findings, or diagnoses related to this organ system since the last visit?","1, Yes | 0, No",,,,,,,Y,RH,,,,
non_dermatologic_eva,non_cardiac_organ_systems_review,,, ,Yes,,,,,radio,Has the participant been evaluated by a dermatologist since the last visit?,"1, Yes | 0, No",,,,,,"[non_dermatologic] = ""1""",Y,RH,,,,
non_dermatologic_finding,non_cardiac_organ_systems_review,,Yes ,,,22,"ICD10:R21*,ICD10:H11.433,ICD10:K12.3*,ICD10:L60*,ICD10:I96,ICD10:L20*","1, Rash and other nonspecific skin eruption --> Persistent rash
2, Conjunctival hyperemia, bilateral --> Bilateral conjunctival injection (not related to allergies)
3, Oral mucositis (ulcerative) --> Oral ulcerations 
4, Nail disorders --> Periungual desquamation
5, Gangrene, not elsewhere classified --> Gangrene
6, Atopic dermatitis --> Atopic dermatitis 
7, ??? --> ""COVID toes or fingers""
8, ???? --> Other",,checkbox,"Has the participant experienced any of the following symptoms, clinical findings, or diagnoses since the last visit (choose all that apply)?","1, Persistent rash | 2, Bilateral conjunctival injection (not related to allergies)| 3, Oral ulcerations | 4, Periungual desquamation | 5, Gangrene | 6, Atopic dermatitis | 7, ""COVID toes or fingers"" | 8, Other ",,,,,,"[non_dermatologic] = ""1""",Y,RV,,,,
non_dermatologic_sp,non_cardiac_organ_systems_review,,,Notes,, , , ,,text,"Other dermatologic/mucocutaneous condition, please specify",,,,,,,"[non_dermatologic_finding(8)] = ""1""",Y,,,,,
non_genitourinary,non_cardiac_organ_systems_review,Genitourinary/Reproductive,,,Yes,,,,,radio,"Has the participant experienced any, clinical findings, or diagnoses related to this organ system since the last visit?","1, Yes | 0, No",,,,,,,Y,RH,,,,
non_genitourinary_logist,non_cardiac_organ_systems_review,,, ,Yes,,,,,radio,Has the participant been evaluated by an obstetrician/gynecologist since the last visit?,"1, Yes | 0, No | 88, Not applicable",,,,,,"[non_genitourinary] = ""1""",Y,RH,,,,
non_genitourinary_sx,non_cardiac_organ_systems_review,,Yes,,,0,"ICD10:N94.4,ICD10:N94.5,ICD10:N94.6,CID10:N92*,ICD10:Z33.1","1, Primary dysmenorrhea;Secondary dysmenorrhea;Dysmenorrhea, unspecified --> Dysmenorrhea
2, Excessive, frequent and irregular menstruation --> Menorrhagia
3, Other specified irregular menstruation;Irregular menstruation, unspecified --> Irregular menses
4, Pregnant state, incidental --> Pregnancy
5, ???? --> Other",,checkbox,"Has the participant experienced any of the following symptoms, clinical findings, or diagnoses since the last visit (choose all that apply)?","1, Dysmenorrhea | 2, Menorrhagia | 3, Irregular menses | 4, Pregnancy | 5, Other",,,,,,"[non_genitourinary] = ""1""",Y,RV,,,,
non_pregnancy,non_cardiac_organ_systems_review,,,Notes, ,,,,,radio,"If pregnancy, has the participant delivered the baby?","1, Yes | 0, No",,,,,,"[non_genitourinary_sx(4)] = ""1""",Y,RH,,,,
non_geni_pregnancyout,non_cardiac_organ_systems_review,,Yes ,,,0,"ICD10:Z37.0,ICD10:Z37.2,ICD10:Z37.2,ICD10:Z37.5*,ICD10:O03*,ICD10:Z37.1,ICD10:P95,ICD10:Z37.7,ICD10:Z37.4,ICD10:Z33.2","1, Single live birth;Twins, both liveborn;Other multiple births, all liveborn --> Live child 
2, Spontaneous abortion --> Miscarriage
3, Single stillbirth;Stillbirth;Other multiple births, all stillborn;Twins, both stillborn --> Stillborn
4, Encounter for elective termination of pregnancy --> Elective termination
5, ??? --> Other","""\i2b2\Diagnosis\10\(Z00-Z99) Fact~rmj9\(Z30-Z39) Pers~awcc\(Z37) Outcome~ay1h\(Z37.0) Single~ih66\
\i2b2\Diagnosis\10\(Z00-Z99) Fact~rmj9\(Z30-Z39) Pers~awcc\(Z37) Outcome~ay1h\(Z37.2) Twins,~4chn\
\i2b2\Diagnosis\10\(Z00-Z99) Fact~rmj9\(Z30-Z39) Pers~awcc\(Z37) Outcome~ay1h\(Z37.2) Twins,~4chn\
could not find!
could not find!
\i2b2\Diagnosis\10\(Z00-Z99) Fact~rmj9\(Z30-Z39) Pers~awcc\(Z37) Outcome~ay1h\(Z37.1) Single~w9tk\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P90-P96) Othe~5ms1\(P95) Stillbirth\
\i2b2\Diagnosis\10\(Z00-Z99) Fact~rmj9\(Z30-Z39) Pers~awcc\(Z37) Outcome~ay1h\(Z37.7) Other~zemm\
\i2b2\Diagnosis\10\(Z00-Z99) Fact~rmj9\(Z30-Z39) Pers~awcc\(Z37) Outcome~ay1h\(Z37.4) Twins,~9osm\
\i2b2\Diagnosis\10\(Z00-Z99) Fact~rmj9\(Z30-Z39) Pers~awcc\(Z33) Pregnant state\(Z33.2) Encoun~iy1h\""",radio,Outcome of pregnancy,"1, Live child | 2, Miscarriage | 3, Stillborn | 4, Elective termination | 5, Other ",,,,,,"[non_pregnancy] = ""1""",Y,,,,,
non_geni_pregnancy_sp,non_cardiac_organ_systems_review,,,Notes,,,,,,text,"Other outcome of pregnancy, specify",,,,,,,"[non_geni_pregnancyout] = ""5""",Y,,,,,
non_genitourinary_sp,non_cardiac_organ_systems_review,,,Notes,,,,,,text,"Other genitourinary/reproductive condition, specify",,,,,,,"[non_genitourinary_sx(5)] = ""1""",Y,,,,,
findings_na,additional_findings_and_events,,N/A,,,,,,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not complete this form until the participant is eligible according to the Eligibility Form</font>","1, Acknowledged",,,,,,"[day_1_arm_1][elig] <> ""1""",,LV,,,,
findings_na2,additional_findings_and_events,,N/A,,,,,,,radio,"<font color=""red"">WARNING: The Follow Up Information and Vital Status form for this visit indicates that the participant has died or had a heart transplant; if correct, please do not complete this form.</font>","1, Acknowledged",,,,,,"[vital_status] = ""1"" or [anvital_status] = ""1""",,LV,,,,
findings_number,additional_findings_and_events,Additional Associated Findings and Events,,,Yes,,,,,radio,"Were there associated findings and events since initial hospital discharge or last study visit, that were not already detailed in the cardiac or non-cardiac organ systems review (see Associated Findings and Events Code List for more information)?","1, Yes | 0, No",,,,,,,Y,LH,,,,
findings_type1,additional_findings_and_events,"If there is at least 1 associated finding and/or event that occurred that was not already detailed in the cardiac or non-cardiac organ systems review, please note here, along with the associated code and date of occurrence<br><br>Associated Finding/Event 1",,Notes,,,,,,radio,Was this event cardiovascular in nature?,"1, Yes | 0, No | 88, Not applicable, no further events",,,,,,"[findings_number] > ""0""",Y,LH,,,,
findings_cardiac_c1,additional_findings_and_events,,,Notes, Yes (look at the column J),,,,,dropdown,Cardiovascular event code,"B-0001, B-0001: Peripheral (non-cardiac) Aneurysms | B-0002, B-0002: Angina | B-0003, B-0003: Arrhythmia | B-0004, B-0004: Cardiac arrest | B-0005, B-0005: Cardiac catheterization | B-0006, B-0006: Cardiogenic shock | B-0007, B-0007: Chest pain not likely to be cardiac | B-0008, B-0008: Chest pain cardiac related | B-0009, B-0009: Congestive Heart Failure (CHF) B-0010 Dizziness complaints of | B-0011, B-0011: Exercise intolerance (by history) | B-0012, B-0012: Gallop | B-0013, B-0013: Hypertension (SBP>95th percentile) | B-0014, B-0014: Hypotension (SBP<5th percentile) | B-0015, B-0015: Myocardial infarction | B-0016, B-0016: Myocardial ischemia | B-0017, B-0017: Occlusive coronary artery thrombus in aneurysm | B-0018, B-0018: Non-occlusive coronary artery thrombus in aneurysm | B-0019, B-0019: Coronary artery aneurysm (z-score above or equal to 2.5) | B-0020, B-0020: Intracardiac thrombus | B-0021, B-0021: Ventricular fibrillation requiring electrical cardioversion | B-0022, B-0022: Ventricular tachycardia requiring electrical cardioversion | B-0023, B-0023: Atrial fibrillation requiring electrical cardioversion | B-0024, B-0024: Atrial flutter requiring electrical cardioversion | B-0025, B-0025: Palpitations | B-0026, B-0026: Shock | B-0027, B-0027: Supraventricular tachycardia requiring adenosine | B-0028, B-0028: Supraventricular tachycardia requiring electrical cardioversion | B-0029, B-0029: Syncope | B-9999, B-9999: Other cardiac specify",See CTCAE-MedDRA Code List for more details,,,,,"[findings_type1] = ""1""",Y,,,,,
findings_noncardiac_c1,additional_findings_and_events,,,, Yes (look at the column J),,,,,dropdown,Non-cardiovascular event code,"A-0001, A-0001: Abdominal pain | A-0002, A-0002: Acne | A-0003, A-0003: Anaphylaxis | A-0004, A-0004: Anemia (Hct <30 mg/dl) | A-0005, A-0005: Anterior Uveitis (documented by ophthalmology exam) | A-0006, A-0006: Arthralgia | A-0007, A-0007: Arthritis, proximal interphalangeal (PIP) joints | A-0008, A-0008: Arthritis, distal interphalangeal (DIP) joints | A-0009, A-0009: Arthritis, ankles | A-0010, A-0010: Arthritis, elbows | A-0011, A-0011: Arthritis, hips | A-0012, A-0012: Arthritis, knees | A-0013, A-0013: Arthritis, shoulders | A-0014, A-0014: Arthritis, wrists | A-0015, A-0015: Aseptic meningitis (confirmed by Lumbar Puncture) | A-0016, A-0016: Beau's lines | A-0017, A-0017: Blurred vision | A-0018, A-0018: Bulbar conjunctivitis | A-0019, A-0019: Cervical lymphadenopathy (>1.5 cm) | A-0020, A-0020: Complication of IV line | A-0021, A-0021: Cough | A-0022, A-0022: Cyanosis | A-0023, A-0023: Death | A-0024, A-0024: Desquamation, genitourinary area | A-0025, A-0025: Desquamation, lips | A-0026, A-0026: Diabetes Insipidus | A-0027, A-0027: Diarrhea | A-0028, A-0028: Dyspnea | A-0029, A-0029: Dysuria | A-0030, A-0030: Elevated liver function tests (>2x normal) | A-0031, A-0031: Encephalitis | A-0032, A-0032: Erythema, palms | A-0033, A-0033: Erythema, soles | A-0034, A-0034: Eczema | A-0035, A-0035: Fluid retention/Edema | A-0036, A-0036: Flushing | A-0037, A-0037: Headache | A-0038, A-0038: Hearing loss | A-0039, A-0039: Hemolytic anemia | A-0040, A-0040: Hives | A-0041, A-0041: Hydrops of gall bladder (documented by ultrasound) | A-0042, A-0042: Hyperglycemia (glucose>150 mq/dl) | A-0043, A-0043: Increased appetite | A-0044, A-0044: Insomnia | A-0045, A-0045: Irritability | A-0046, A-0046: Mood changes | A-0047, A-0047: Nervousness | A-0048, A-0048: Pancreatitis | A-0049, A-0049: Periungual desquamation hands | A-0050, A-0050: Periungual desquamation feet | A-0051, A-0051: Pneumonia (documented on chest x-ray) | A-0052, A-0052: Pseudotumor cerebri | A-0053, A-0053: Psoriasis | A-0054, A-0054: Pustular psoriasis | A-0055, A-0055: Rash new onset | A-0056, A-0056: Rash hives | A-0057, A-0057: Rash eczema | A-0058, A-0058: Rash pustular-psoriasis | A-0059, A-0059: Renal failure (Creatinine >1.5 mg/dL) | A-0060, A-0060: Rhinorrhea | A-0061, A-0061: Rigors | A-0062, A-0062: Sepsis suspected (not confirmed} | A-0063, A-0063: Sepsis (confirmed by blood cultures) | A-0064, A-0064: Seizures | A-0065, A-0065: Small bowel obstruction | A-0066, A-0066: Sterile pyuria | A-0067, A-0067: Strawberry tongue | A-0068, A-0068: Strep throat (confirmed by throat culture) | A-0069, A-0069: Sudden increase in fever | A-0070, A-0070: Torticollis | A-0071, A-0071: Vomiting | A-0072, A-0072: Weakness | A-9999, A-9999: Other non-cardiac specify",See CTCAE-MedDRA Code List for more details,,,,,"[findings_type1] = ""0""",Y,,,,,
findings_specify_a1,additional_findings_and_events,,,Notes,,,,,,Notes,Specify Findings/Event,,,,,,,"[findings_type1] = ""1"" or [findings_type1] = ""0""",Y,,,,,
findings_date_a1,additional_findings_and_events,,,Notes,,,,,,text,Date,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[findings_type1] = ""1"" or [findings_type1] = ""0""",Y,,,,,
findings_type2,additional_findings_and_events,Associated Finding/Event 2,,, Yes (look at the column J),,,,,radio,Was this event cardiovascular in nature?,"1, Yes | 0, No | 88, Not applicable, no further events",,,,,,"[findings_number] > ""0""",,LH,,,,
findings_cardiac_c2,additional_findings_and_events,,,, Yes (look at the column J),,,,,dropdown,Cardiovascular event code,"B-0001, B-0001: Peripheral (non-cardiac) Aneurysms | B-0002, B-0002: Angina | B-0003, B-0003: Arrhythmia | B-0004, B-0004: Cardiac arrest | B-0005, B-0005: Cardiac catheterization | B-0006, B-0006: Cardiogenic shock | B-0007, B-0007: Chest pain not likely to be cardiac | B-0008, B-0008: Chest pain cardiac related | B-0009, B-0009: Congestive Heart Failure (CHF) B-0010 Dizziness complaints of | B-0011, B-0011: Exercise intolerance (by history) | B-0012, B-0012: Gallop | B-0013, B-0013: Hypertension (SBP>95th percentile) | B-0014, B-0014: Hypotension (SBP<5th percentile) | B-0015, B-0015: Myocardial infarction | B-0016, B-0016: Myocardial ischemia | B-0017, B-0017: Occlusive coronary artery thrombus in aneurysm | B-0018, B-0018: Non-occlusive coronary artery thrombus in aneurysm | B-0019, B-0019: Coronary artery aneurysm (z-score above or equal to 2.5) | B-0020, B-0020: Intracardiac thrombus | B-0021, B-0021: Ventricular fibrillation requiring electrical cardioversion | B-0022, B-0022: Ventricular tachycardia requiring electrical cardioversion | B-0023, B-0023: Atrial fibrillation requiring electrical cardioversion | B-0024, B-0024: Atrial flutter requiring electrical cardioversion | B-0025, B-0025: Palpitations | B-0026, B-0026: Shock | B-0027, B-0027: Supraventricular tachycardia requiring adenosine | B-0028, B-0028: Supraventricular tachycardia requiring electrical cardioversion | B-0029, B-0029: Syncope | B-9999, B-9999: Other cardiac specify",See CTCAE-MedDRA Code List for more details,,,,,"[findings_type2] = ""1""",Y,,,,,
findings_noncardiac_c2,additional_findings_and_events,,,, Yes (look at the column J),,,,,dropdown,Non-cardiovascular event code,"A-0001, A-0001: Abdominal pain | A-0002, A-0002: Acne | A-0003, A-0003: Anaphylaxis | A-0004, A-0004: Anemia (Hct <30 mg/dl) | A-0005, A-0005: Anterior Uveitis (documented by ophthalmology exam) | A-0006, A-0006: Arthralgia | A-0007, A-0007: Arthritis, proximal interphalangeal (PIP) joints | A-0008, A-0008: Arthritis, distal interphalangeal (DIP) joints | A-0009, A-0009: Arthritis, ankles | A-0010, A-0010: Arthritis, elbows | A-0011, A-0011: Arthritis, hips | A-0012, A-0012: Arthritis, knees | A-0013, A-0013: Arthritis, shoulders | A-0014, A-0014: Arthritis, wrists | A-0015, A-0015: Aseptic meningitis (confirmed by Lumbar Puncture) | A-0016, A-0016: Beau's lines | A-0017, A-0017: Blurred vision | A-0018, A-0018: Bulbar conjunctivitis | A-0019, A-0019: Cervical lymphadenopathy (>1.5 cm) | A-0020, A-0020: Complication of IV line | A-0021, A-0021: Cough | A-0022, A-0022: Cyanosis | A-0023, A-0023: Death | A-0024, A-0024: Desquamation, genitourinary area | A-0025, A-0025: Desquamation, lips | A-0026, A-0026: Diabetes Insipidus | A-0027, A-0027: Diarrhea | A-0028, A-0028: Dyspnea | A-0029, A-0029: Dysuria | A-0030, A-0030: Elevated liver function tests (>2x normal) | A-0031, A-0031: Encephalitis | A-0032, A-0032: Erythema, palms | A-0033, A-0033: Erythema, soles | A-0034, A-0034: Eczema | A-0035, A-0035: Fluid retention/Edema | A-0036, A-0036: Flushing | A-0037, A-0037: Headache | A-0038, A-0038: Hearing loss | A-0039, A-0039: Hemolytic anemia | A-0040, A-0040: Hives | A-0041, A-0041: Hydrops of gall bladder (documented by ultrasound) | A-0042, A-0042: Hyperglycemia (glucose>150 mq/dl) | A-0043, A-0043: Increased appetite | A-0044, A-0044: Insomnia | A-0045, A-0045: Irritability | A-0046, A-0046: Mood changes | A-0047, A-0047: Nervousness | A-0048, A-0048: Pancreatitis | A-0049, A-0049: Periungual desquamation hands | A-0050, A-0050: Periungual desquamation feet | A-0051, A-0051: Pneumonia (documented on chest x-ray) | A-0052, A-0052: Pseudotumor cerebri | A-0053, A-0053: Psoriasis | A-0054, A-0054: Pustular psoriasis | A-0055, A-0055: Rash new onset | A-0056, A-0056: Rash hives | A-0057, A-0057: Rash eczema | A-0058, A-0058: Rash pustular-psoriasis | A-0059, A-0059: Renal failure (Creatinine >1.5 mg/dL) | A-0060, A-0060: Rhinorrhea | A-0061, A-0061: Rigors | A-0062, A-0062: Sepsis suspected (not confirmed} | A-0063, A-0063: Sepsis (confirmed by blood cultures) | A-0064, A-0064: Seizures | A-0065, A-0065: Small bowel obstruction | A-0066, A-0066: Sterile pyuria | A-0067, A-0067: Strawberry tongue | A-0068, A-0068: Strep throat (confirmed by throat culture) | A-0069, A-0069: Sudden increase in fever | A-0070, A-0070: Torticollis | A-0071, A-0071: Vomiting | A-0072, A-0072: Weakness | A-9999, A-9999: Other non-cardiac specify",See CTCAE-MedDRA Code List for more details,,,,,"[findings_type2] = ""0""",Y,,,,,
findings_specify_a2,additional_findings_and_events,,,Notes,,,,,,Notes,Specify Findings/Event,,,,,,,"[findings_type2] = ""1"" or [findings_type2] = ""0""",Y,,,,,
findings_date_a2,additional_findings_and_events,,,Notes,,,,,,text,Date,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[findings_type2] = ""1"" or [findings_type2] = ""0""",Y,,,,,
findings_type3,additional_findings_and_events,Associated Finding/Event 3,,Notes,,,,,,radio,Was this event cardiovascular in nature?,"1, Yes | 0, No | 88, Not applicable, no further events",,,,,,"[findings_number] > ""0""",,LH,,,,
findings_cardiac_c3,additional_findings_and_events,,,, Yes (look at the column J),,,,,dropdown,Cardiovascular event code,"B-0001, B-0001: Peripheral (non-cardiac) Aneurysms | B-0002, B-0002: Angina | B-0003, B-0003: Arrhythmia | B-0004, B-0004: Cardiac arrest | B-0005, B-0005: Cardiac catheterization | B-0006, B-0006: Cardiogenic shock | B-0007, B-0007: Chest pain not likely to be cardiac | B-0008, B-0008: Chest pain cardiac related | B-0009, B-0009: Congestive Heart Failure (CHF) B-0010 Dizziness complaints of | B-0011, B-0011: Exercise intolerance (by history) | B-0012, B-0012: Gallop | B-0013, B-0013: Hypertension (SBP>95th percentile) | B-0014, B-0014: Hypotension (SBP<5th percentile) | B-0015, B-0015: Myocardial infarction | B-0016, B-0016: Myocardial ischemia | B-0017, B-0017: Occlusive coronary artery thrombus in aneurysm | B-0018, B-0018: Non-occlusive coronary artery thrombus in aneurysm | B-0019, B-0019: Coronary artery aneurysm (z-score above or equal to 2.5) | B-0020, B-0020: Intracardiac thrombus | B-0021, B-0021: Ventricular fibrillation requiring electrical cardioversion | B-0022, B-0022: Ventricular tachycardia requiring electrical cardioversion | B-0023, B-0023: Atrial fibrillation requiring electrical cardioversion | B-0024, B-0024: Atrial flutter requiring electrical cardioversion | B-0025, B-0025: Palpitations | B-0026, B-0026: Shock | B-0027, B-0027: Supraventricular tachycardia requiring adenosine | B-0028, B-0028: Supraventricular tachycardia requiring electrical cardioversion | B-0029, B-0029: Syncope | B-9999, B-9999: Other cardiac specify",See CTCAE-MedDRA Code List for more details,,,,,"[findings_type3] = ""1""",Y,,,,,
